CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
713424108.0,37.0,M,1.0,Graduate,Single,$60K - $80K,Blue,27.0,4.0,1.0,3.0,4288.0,2349.0,1939.0,0.718,2591.0,57.0,0.541,0.5479999999999999,Existing Customer
766795983.0,46.0,F,1.0,Unknown,Single,Less than $40K,Blue,40.0,4.0,2.0,2.0,1438.3,0.0,1438.3,0.7559999999999999,4692.0,91.0,0.596,0.0,Existing Customer
713312208.0,53.0,M,1.0,High School,Married,$40K - $60K,Blue,43.0,1.0,2.0,3.0,3146.0,0.0,3146.0,0.414,1868.0,38.0,0.31,0.0,Attrited Customer
712816833.0,56.0,F,0.0,High School,Married,Unknown,Blue,48.0,4.0,1.0,2.0,4203.0,1965.0,2238.0,0.441,1425.0,32.0,0.778,0.46799999999999997,Existing Customer
767311008.0,41.0,M,1.0,Graduate,Divorced,$80K - $120K,Blue,35.0,6.0,2.0,3.0,19412.0,770.0,18642.0,0.755,1576.0,41.0,0.9520000000000001,0.04,Existing Customer
796336833.0,51.0,M,3.0,Doctorate,Married,$80K - $120K,Blue,45.0,5.0,2.0,4.0,32096.0,0.0,32096.0,0.7659999999999999,2619.0,69.0,0.917,0.0,Existing Customer
794771208.0,52.0,M,3.0,Unknown,Single,$80K - $120K,Blue,46.0,5.0,1.0,2.0,2735.0,1942.0,793.0,0.5820000000000001,3724.0,66.0,0.6920000000000001,0.71,Existing Customer
713904708.0,40.0,F,3.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,1.0,3.0,7582.0,1942.0,5640.0,0.823,4926.0,85.0,0.635,0.256,Existing Customer
716236683.0,46.0,F,1.0,High School,Married,Less than $40K,Blue,37.0,4.0,2.0,2.0,2532.0,1487.0,,0.581,4143.0,71.0,1.0290000000000001,0.5870000000000001,Existing Customer
716645883.0,47.0,M,2.0,Unknown,Unknown,$60K - $80K,Blue,36.0,3.0,2.0,2.0,13867.0,0.0,,0.659,4297.0,68.0,0.7440000000000001,0.0,Existing Customer
713552958.0,43.0,M,5.0,Graduate,Unknown,$60K - $80K,Blue,28.0,1.0,3.0,1.0,12773.0,1637.0,11136.0,0.919,14833.0,114.0,0.583,0.128,Existing Customer
712933083.0,37.0,M,1.0,Uneducated,Single,$80K - $120K,Blue,36.0,6.0,1.0,2.0,3127.0,2378.0,749.0,0.862,2292.0,49.0,0.441,0.76,Existing Customer
717135333.0,50.0,F,1.0,Graduate,Single,Unknown,Blue,36.0,3.0,2.0,2.0,17970.0,1390.0,16580.0,0.7240000000000001,13204.0,97.0,0.7959999999999999,0.077,Existing Customer
822127008.0,50.0,F,1.0,Post-Graduate,Married,Unknown,Blue,46.0,2.0,2.0,1.0,19349.0,615.0,18734.0,0.708,4351.0,79.0,0.7170000000000001,0.032,Existing Customer
710202783.0,33.0,M,2.0,Graduate,Married,$60K - $80K,Blue,13.0,3.0,3.0,3.0,1963.0,1721.0,242.0,0.68,1378.0,37.0,0.762,0.877,Existing Customer
709618308.0,46.0,F,3.0,High School,Single,$40K - $60K,Silver,40.0,4.0,3.0,1.0,16239.0,1487.0,14752.0,0.531,3838.0,48.0,0.6,0.092,Existing Customer
719632683.0,40.0,M,3.0,Graduate,Single,$40K - $60K,Blue,30.0,6.0,3.0,3.0,2583.0,2235.0,348.0,0.508,4500.0,83.0,0.509,0.865,Existing Customer
719703483.0,47.0,F,1.0,Doctorate,Divorced,Less than $40K,Blue,37.0,6.0,3.0,3.0,2707.0,1367.0,1340.0,0.794,4646.0,73.0,0.78,0.505,Existing Customer
789231858.0,59.0,M,1.0,Unknown,Married,$60K - $80K,Blue,48.0,5.0,3.0,3.0,1438.3,642.0,796.3,0.9259999999999999,5177.0,79.0,0.6459999999999999,0.446,Existing Customer
711877458.0,51.0,F,3.0,College,Married,Less than $40K,Blue,36.0,6.0,2.0,2.0,1936.0,0.0,1936.0,0.705,4072.0,72.0,0.7559999999999999,0.0,Existing Customer
769756983.0,38.0,M,3.0,Graduate,Married,$60K - $80K,Blue,32.0,3.0,1.0,2.0,7709.0,2227.0,5482.0,1.295,2520.0,61.0,0.848,0.289,Existing Customer
713735508.0,35.0,M,3.0,Uneducated,Married,$80K - $120K,Blue,25.0,3.0,1.0,2.0,11927.0,675.0,11252.0,0.574,1986.0,36.0,0.636,0.057,Existing Customer
771735933.0,48.0,M,2.0,High School,Married,$80K - $120K,Blue,36.0,2.0,1.0,1.0,10761.0,1722.0,,0.7,4731.0,82.0,0.7829999999999999,0.16,Existing Customer
711750183.0,63.0,F,2.0,Graduate,Single,Less than $40K,Gold,55.0,4.0,1.0,3.0,15987.0,1345.0,14642.0,0.7290000000000001,3640.0,56.0,0.867,0.084,Existing Customer
718578708.0,49.0,M,4.0,Post-Graduate,Single,$120K +,Silver,38.0,3.0,3.0,1.0,34516.0,1562.0,,0.618,14212.0,100.0,0.667,0.045,Existing Customer
714975633.0,51.0,F,2.0,High School,Single,Unknown,Blue,36.0,2.0,1.0,2.0,2319.0,1347.0,,0.722,7558.0,85.0,0.491,0.581,Existing Customer
714773508.0,54.0,F,1.0,Graduate,Married,$40K - $60K,Blue,46.0,6.0,4.0,3.0,1632.0,351.0,,0.721,2532.0,43.0,0.483,0.215,Attrited Customer
810347208.0,51.0,M,4.0,Unknown,Married,$120K +,Gold,46.0,6.0,1.0,3.0,34516.0,2264.0,32252.0,1.975,1330.0,31.0,0.722,0.066,Existing Customer
713763633.0,54.0,F,2.0,Graduate,Married,Unknown,Blue,46.0,5.0,3.0,2.0,3014.0,794.0,2220.0,0.5,1488.0,30.0,0.579,0.263,Existing Customer
719555733.0,53.0,F,2.0,Uneducated,Married,Unknown,Blue,36.0,4.0,3.0,3.0,2162.0,1592.0,570.0,0.547,1736.0,42.0,0.615,0.736,Existing Customer
713739708.0,61.0,M,0.0,High School,Single,$60K - $80K,Blue,53.0,1.0,3.0,3.0,2415.0,2050.0,365.0,0.499,4479.0,71.0,0.69,0.8490000000000001,Existing Customer
779625858.0,37.0,F,2.0,Unknown,Single,Less than $40K,Blue,27.0,6.0,1.0,3.0,3061.0,2517.0,544.0,0.809,5032.0,89.0,0.618,0.8220000000000001,Existing Customer
708155733.0,53.0,M,2.0,High School,Single,$120K +,Blue,44.0,4.0,2.0,2.0,14734.0,1634.0,13100.0,0.9890000000000001,1289.0,23.0,0.917,0.111,Existing Customer
715300683.0,39.0,M,1.0,Uneducated,Single,$80K - $120K,Blue,36.0,1.0,1.0,3.0,34458.0,846.0,33612.0,0.8170000000000001,8271.0,94.0,0.88,0.025,Existing Customer
720892833.0,50.0,F,3.0,Graduate,Married,$40K - $60K,Blue,39.0,5.0,3.0,2.0,12610.0,1123.0,11487.0,0.853,4199.0,67.0,0.595,0.08900000000000001,Existing Customer
817029108.0,47.0,F,4.0,Post-Graduate,Single,$40K - $60K,Blue,27.0,4.0,6.0,3.0,6885.0,1611.0,5274.0,0.955,3804.0,67.0,0.861,0.23399999999999999,Existing Customer
720165258.0,44.0,F,2.0,High School,Unknown,Less than $40K,Blue,29.0,2.0,3.0,1.0,3170.0,2330.0,840.0,0.858,5357.0,91.0,0.978,0.735,Existing Customer
803938908.0,49.0,F,4.0,Uneducated,Single,Less than $40K,Blue,44.0,4.0,2.0,2.0,2659.0,0.0,2659.0,0.84,4546.0,81.0,0.884,0.0,Existing Customer
827901183.0,51.0,F,2.0,Graduate,Married,Less than $40K,Blue,47.0,2.0,2.0,1.0,5118.0,980.0,,0.7859999999999999,14593.0,109.0,0.627,0.191,Existing Customer
787226508.0,47.0,M,2.0,College,Single,$60K - $80K,Blue,41.0,2.0,3.0,3.0,20811.0,1302.0,,0.7929999999999999,7192.0,82.0,0.708,0.063,Existing Customer
783364233.0,59.0,M,0.0,Graduate,Married,$40K - $60K,Blue,53.0,3.0,2.0,3.0,4241.0,0.0,,0.607,1798.0,45.0,0.731,0.0,Existing Customer
712326708.0,42.0,F,2.0,Unknown,Married,Less than $40K,Blue,31.0,6.0,2.0,3.0,2552.0,2220.0,332.0,0.782,4437.0,61.0,1.033,0.87,Existing Customer
826150608.0,44.0,M,4.0,Uneducated,Unknown,$40K - $60K,Silver,40.0,1.0,1.0,2.0,18072.0,1378.0,16694.0,0.73,8199.0,98.0,0.75,0.076,Existing Customer
712701333.0,53.0,M,3.0,High School,Married,$60K - $80K,Blue,43.0,5.0,3.0,2.0,5264.0,2169.0,3095.0,0.374,1219.0,27.0,0.5,0.41200000000000003,Existing Customer
717870108.0,46.0,F,4.0,Unknown,Unknown,$40K - $60K,Blue,37.0,6.0,4.0,2.0,1912.0,1172.0,740.0,0.8270000000000001,4841.0,81.0,0.884,0.613,Existing Customer
789198708.0,58.0,M,3.0,Graduate,Married,$120K +,Blue,47.0,3.0,1.0,2.0,27088.0,0.0,27088.0,0.581,1135.0,24.0,0.846,0.0,Existing Customer
711686658.0,48.0,M,5.0,High School,Married,$80K - $120K,Silver,40.0,6.0,2.0,2.0,34516.0,1417.0,33099.0,0.6920000000000001,16579.0,109.0,0.879,0.040999999999999995,Existing Customer
717477783.0,49.0,F,4.0,Unknown,Single,Less than $40K,Silver,37.0,1.0,2.0,2.0,10195.0,2389.0,,0.42700000000000005,1563.0,36.0,0.44,0.23399999999999999,Attrited Customer
812247033.0,51.0,F,3.0,Uneducated,Married,Less than $40K,Blue,46.0,5.0,5.0,2.0,3536.0,0.0,3536.0,0.542,3281.0,39.0,0.39299999999999996,0.0,Attrited Customer
789540108.0,29.0,F,1.0,Uneducated,Married,Less than $40K,Blue,21.0,2.0,1.0,3.0,2832.0,1819.0,1013.0,0.674,4761.0,75.0,0.7440000000000001,0.642,Existing Customer
720306408.0,50.0,F,2.0,High School,Single,Less than $40K,Blue,41.0,2.0,3.0,2.0,6704.0,0.0,6704.0,0.856,12576.0,103.0,0.7759999999999999,0.0,Existing Customer
709583133.0,53.0,M,3.0,Uneducated,Married,$40K - $60K,Blue,40.0,6.0,3.0,3.0,3326.0,1442.0,1884.0,0.711,1627.0,54.0,1.077,0.434,Existing Customer
717784983.0,41.0,F,2.0,Uneducated,Married,Less than $40K,Blue,33.0,3.0,3.0,3.0,3893.0,1157.0,2736.0,1.169,1536.0,39.0,0.773,0.297,Existing Customer
714102183.0,50.0,M,3.0,Uneducated,Single,$120K +,Blue,36.0,1.0,2.0,3.0,7970.0,2282.0,5688.0,0.28,1872.0,41.0,0.20600000000000002,0.28600000000000003,Attrited Customer
717331758.0,44.0,M,4.0,Graduate,Married,$120K +,Blue,32.0,6.0,3.0,4.0,34516.0,2517.0,31999.0,0.765,4228.0,83.0,0.596,0.073,Existing Customer
757167633.0,50.0,M,2.0,Uneducated,Single,$60K - $80K,Blue,43.0,4.0,3.0,3.0,4388.0,642.0,3746.0,0.815,3836.0,81.0,0.723,0.146,Existing Customer
714045783.0,37.0,F,2.0,Graduate,Married,$40K - $60K,Blue,29.0,2.0,2.0,6.0,2547.0,1965.0,,0.535,2160.0,46.0,0.353,0.7709999999999999,Attrited Customer
718021608.0,45.0,F,3.0,Graduate,Married,$40K - $60K,Blue,34.0,4.0,5.0,2.0,1533.0,728.0,805.0,0.9059999999999999,4659.0,83.0,0.7659999999999999,0.475,Existing Customer
794227308.0,56.0,M,2.0,College,Married,$80K - $120K,Blue,50.0,1.0,1.0,3.0,10214.0,1433.0,8781.0,0.64,4493.0,79.0,0.8809999999999999,0.14,Existing Customer
821150958.0,52.0,M,5.0,Graduate,Single,$80K - $120K,Blue,47.0,3.0,1.0,1.0,2047.0,665.0,1382.0,0.605,3452.0,66.0,0.6920000000000001,0.325,Existing Customer
709219533.0,53.0,M,3.0,High School,Married,$60K - $80K,Blue,41.0,3.0,1.0,0.0,2480.0,1351.0,1129.0,0.522,1359.0,36.0,0.565,0.545,Existing Customer
768490458.0,49.0,M,2.0,Uneducated,Married,$80K - $120K,Blue,43.0,1.0,3.0,3.0,5701.0,2517.0,,0.716,961.0,32.0,0.524,0.442,Attrited Customer
815504583.0,48.0,F,4.0,Graduate,Single,$40K - $60K,Blue,43.0,3.0,2.0,4.0,1538.0,0.0,1538.0,0.684,2275.0,43.0,0.483,0.0,Attrited Customer
708438033.0,36.0,F,2.0,Unknown,Married,Less than $40K,Blue,27.0,3.0,3.0,4.0,3049.0,2198.0,851.0,1.546,2617.0,48.0,1.0,0.721,Existing Customer
779118708.0,50.0,F,2.0,Unknown,Single,Less than $40K,Blue,32.0,4.0,3.0,1.0,1438.3,0.0,,0.815,4598.0,78.0,0.902,0.0,Existing Customer
717958833.0,46.0,M,4.0,Graduate,Married,$60K - $80K,Blue,35.0,5.0,1.0,2.0,1535.0,700.0,835.0,2.282,1848.0,25.0,1.083,0.456,Existing Customer
715363908.0,44.0,F,4.0,Uneducated,Married,Less than $40K,Blue,26.0,4.0,1.0,2.0,4726.0,1551.0,3175.0,0.544,3658.0,70.0,0.628,0.32799999999999996,Existing Customer
721171008.0,31.0,F,1.0,Unknown,Married,Less than $40K,Silver,36.0,2.0,3.0,1.0,10353.0,1520.0,8833.0,0.7240000000000001,15028.0,124.0,0.746,0.147,Existing Customer
717517758.0,57.0,F,0.0,High School,Married,$40K - $60K,Blue,45.0,3.0,2.0,2.0,2278.0,845.0,,1.328,2307.0,45.0,0.8,0.371,Existing Customer
771232533.0,46.0,F,2.0,Graduate,Married,Less than $40K,Blue,33.0,3.0,3.0,3.0,2267.0,1283.0,984.0,0.7609999999999999,4249.0,81.0,0.8,0.5660000000000001,Existing Customer
715207458.0,46.0,F,1.0,Unknown,Single,Less than $40K,Blue,39.0,2.0,2.0,1.0,2029.0,1074.0,955.0,0.514,4802.0,90.0,0.8,0.529,Existing Customer
720802833.0,26.0,F,1.0,High School,Single,Less than $40K,Blue,13.0,3.0,2.0,3.0,2404.0,1198.0,,0.501,2692.0,63.0,0.5,0.498,Existing Customer
718121658.0,56.0,M,1.0,College,Married,$60K - $80K,Blue,44.0,5.0,3.0,3.0,1704.0,0.0,,0.701,660.0,17.0,0.308,0.0,Attrited Customer
814590483.0,45.0,F,2.0,Graduate,Married,$40K - $60K,Blue,40.0,1.0,3.0,3.0,3592.0,865.0,,0.6629999999999999,12777.0,95.0,0.727,0.24100000000000002,Existing Customer
717651333.0,55.0,F,2.0,Graduate,Single,Less than $40K,Blue,43.0,1.0,3.0,1.0,1745.0,1168.0,577.0,0.701,4562.0,67.0,0.634,0.669,Existing Customer
711374283.0,47.0,M,3.0,High School,Single,$80K - $120K,Blue,42.0,4.0,1.0,0.0,24480.0,1923.0,22557.0,0.505,1416.0,32.0,0.778,0.079,Existing Customer
719978583.0,46.0,M,2.0,High School,Married,$60K - $80K,Blue,40.0,4.0,1.0,3.0,5265.0,0.0,5265.0,0.524,3281.0,68.0,0.7440000000000001,0.0,Existing Customer
714492783.0,46.0,F,4.0,Uneducated,Married,Less than $40K,Blue,36.0,3.0,3.0,3.0,1438.3,0.0,1438.3,0.34600000000000003,1517.0,38.0,0.40700000000000003,0.0,Attrited Customer
708252108.0,64.0,M,0.0,College,Single,$40K - $60K,Blue,53.0,6.0,3.0,2.0,7362.0,1907.0,5455.0,0.693,4065.0,65.0,0.711,0.259,Existing Customer
708745983.0,37.0,F,2.0,Unknown,Married,$40K - $60K,Blue,36.0,4.0,2.0,2.0,2208.0,1559.0,649.0,0.51,4686.0,81.0,0.7609999999999999,0.706,Existing Customer
719178183.0,50.0,M,2.0,Graduate,Married,$80K - $120K,Silver,42.0,2.0,3.0,3.0,34516.0,2517.0,31999.0,0.759,8186.0,85.0,0.635,0.073,Existing Customer
710237283.0,50.0,F,2.0,Graduate,Married,Less than $40K,Blue,38.0,2.0,1.0,1.0,9546.0,960.0,8586.0,0.71,14211.0,111.0,0.657,0.10099999999999999,Existing Customer
790051758.0,50.0,M,2.0,Graduate,Single,$120K +,Blue,42.0,2.0,1.0,2.0,31782.0,0.0,31782.0,1.056,4800.0,53.0,0.395,0.0,Attrited Customer
778289883.0,42.0,F,2.0,Graduate,Unknown,Less than $40K,Blue,32.0,3.0,3.0,3.0,1507.0,0.0,1507.0,0.8059999999999999,2528.0,41.0,0.64,0.0,Attrited Customer
708614058.0,56.0,F,2.0,Graduate,Divorced,Less than $40K,Blue,45.0,4.0,2.0,4.0,1960.0,1690.0,270.0,0.63,3870.0,67.0,0.5579999999999999,0.862,Existing Customer
713656308.0,56.0,F,0.0,High School,Married,Less than $40K,Blue,48.0,3.0,3.0,1.0,1438.3,0.0,1438.3,0.618,4210.0,75.0,0.5,0.0,Existing Customer
713079108.0,51.0,F,0.0,Graduate,Married,Less than $40K,Blue,42.0,5.0,3.0,2.0,1858.0,925.0,933.0,1.056,3660.0,72.0,0.6,0.498,Existing Customer
,,,,,,,,,,,,,,,,,,,,Existing Customer
718308558.0,49.0,F,4.0,Graduate,Divorced,Less than $40K,Blue,37.0,2.0,6.0,1.0,1838.0,1155.0,683.0,0.742,7688.0,93.0,0.409,0.628,Existing Customer
713884458.0,51.0,M,4.0,High School,Single,$80K - $120K,Blue,37.0,6.0,2.0,2.0,8783.0,2142.0,6641.0,0.662,4425.0,83.0,0.7659999999999999,0.244,Existing Customer
808527183.0,46.0,F,3.0,College,Married,Less than $40K,Blue,41.0,4.0,1.0,1.0,1489.0,949.0,540.0,0.65,4669.0,94.0,0.741,0.637,Existing Customer
721522533.0,48.0,F,4.0,Graduate,Single,Less than $40K,Blue,35.0,6.0,3.0,2.0,2005.0,1143.0,862.0,0.8240000000000001,4311.0,70.0,0.591,0.57,Existing Customer
770800683.0,48.0,F,3.0,Post-Graduate,Married,Less than $40K,Blue,35.0,3.0,3.0,3.0,2640.0,2133.0,507.0,1.008,4956.0,72.0,0.846,0.8079999999999999,Existing Customer
779656908.0,40.0,M,1.0,Graduate,Married,$40K - $60K,Blue,23.0,6.0,3.0,2.0,6990.0,1378.0,,0.73,1479.0,29.0,0.611,0.19699999999999998,Existing Customer
788912658.0,44.0,F,2.0,Unknown,Married,Less than $40K,Blue,30.0,3.0,1.0,4.0,3734.0,0.0,3734.0,0.9540000000000001,3144.0,62.0,0.722,0.0,Existing Customer
709005633.0,62.0,M,0.0,High School,Single,$60K - $80K,Blue,51.0,3.0,2.0,4.0,18734.0,0.0,18734.0,0.674,2112.0,52.0,0.857,0.0,Attrited Customer
719091333.0,52.0,M,0.0,Uneducated,Married,$60K - $80K,Blue,36.0,3.0,3.0,2.0,22720.0,793.0,21927.0,0.685,1102.0,27.0,0.28600000000000003,0.035,Existing Customer
711390333.0,59.0,M,0.0,Post-Graduate,Married,$80K - $120K,Blue,46.0,5.0,4.0,2.0,6526.0,489.0,6037.0,0.6779999999999999,2331.0,45.0,0.452,0.075,Attrited Customer
717131283.0,43.0,F,4.0,High School,Divorced,$40K - $60K,Blue,34.0,5.0,1.0,1.0,6034.0,1579.0,4455.0,0.753,4712.0,67.0,0.914,0.262,Existing Customer
778465533.0,54.0,F,0.0,College,Married,Less than $40K,Blue,40.0,3.0,1.0,2.0,1638.0,0.0,1638.0,0.75,1885.0,51.0,0.545,0.0,Existing Customer
771190083.0,36.0,F,3.0,Post-Graduate,Single,Less than $40K,Blue,23.0,6.0,2.0,1.0,2410.0,1705.0,705.0,0.7979999999999999,2505.0,69.0,0.568,0.7070000000000001,Existing Customer
717529233.0,40.0,F,3.0,Graduate,Single,Less than $40K,Blue,30.0,4.0,3.0,2.0,3319.0,0.0,3319.0,0.262,4840.0,44.0,0.375,0.0,Attrited Customer
711033408.0,50.0,F,2.0,High School,Married,Less than $40K,Blue,36.0,5.0,1.0,2.0,9355.0,1626.0,,0.701,1230.0,28.0,0.867,0.174,Existing Customer
711320508.0,57.0,M,4.0,Graduate,Married,$80K - $120K,Blue,49.0,4.0,2.0,4.0,3038.0,1410.0,1628.0,0.644,1762.0,34.0,0.7,0.46399999999999997,Existing Customer
714146208.0,40.0,F,4.0,Unknown,Single,Less than $40K,Blue,32.0,6.0,1.0,1.0,2594.0,2159.0,435.0,0.792,3872.0,71.0,0.511,0.8320000000000001,Existing Customer
716441058.0,45.0,F,4.0,High School,Single,Less than $40K,Silver,36.0,2.0,5.0,2.0,14416.0,0.0,14416.0,0.7879999999999999,13820.0,99.0,0.65,0.0,Existing Customer
809608533.0,49.0,F,4.0,Post-Graduate,Single,Unknown,Blue,44.0,6.0,3.0,2.0,18206.0,1586.0,16620.0,0.9209999999999999,1439.0,48.0,1.0,0.087,Existing Customer
718329183.0,57.0,F,3.0,Graduate,Divorced,$40K - $60K,Blue,47.0,1.0,3.0,2.0,4262.0,2517.0,1745.0,0.682,3943.0,75.0,0.7440000000000001,0.591,Existing Customer
712111608.0,59.0,F,2.0,Post-Graduate,Single,Less than $40K,Blue,54.0,1.0,1.0,3.0,1438.3,0.0,1438.3,0.61,4919.0,72.0,0.7559999999999999,0.0,Existing Customer
802622733.0,44.0,F,4.0,Uneducated,Single,$40K - $60K,Blue,34.0,1.0,3.0,3.0,3657.0,0.0,3657.0,0.785,14802.0,95.0,0.667,0.0,Existing Customer
714981483.0,50.0,F,3.0,High School,Married,Unknown,Blue,38.0,4.0,2.0,1.0,2808.0,1720.0,1088.0,0.836,5137.0,81.0,0.723,0.613,Existing Customer
709841433.0,45.0,F,2.0,Graduate,Divorced,Less than $40K,Blue,33.0,6.0,3.0,3.0,3855.0,1188.0,,0.927,3885.0,83.0,0.627,0.308,Existing Customer
708301683.0,40.0,M,2.0,Uneducated,Married,$80K - $120K,Blue,30.0,6.0,2.0,3.0,20798.0,1059.0,19739.0,1.0490000000000002,8038.0,90.0,0.8370000000000001,0.051,Attrited Customer
780704358.0,34.0,M,3.0,Post-Graduate,Unknown,$60K - $80K,Silver,23.0,4.0,3.0,0.0,27710.0,0.0,27710.0,0.777,4014.0,73.0,0.659,0.0,Existing Customer
710769258.0,40.0,F,2.0,Graduate,Single,Unknown,Blue,27.0,4.0,2.0,3.0,4438.0,1513.0,2925.0,0.807,3895.0,75.0,0.8290000000000001,0.341,Existing Customer
715082133.0,40.0,M,2.0,Graduate,Married,$40K - $60K,Blue,36.0,5.0,2.0,2.0,2494.0,1492.0,1002.0,0.7440000000000001,3407.0,61.0,0.6940000000000001,0.598,Existing Customer
715129983.0,46.0,F,3.0,Graduate,Divorced,Unknown,Blue,36.0,1.0,3.0,2.0,3515.0,0.0,3515.0,0.8759999999999999,15079.0,116.0,0.841,0.0,Existing Customer
779713608.0,52.0,M,2.0,High School,Married,$120K +,Blue,36.0,5.0,1.0,2.0,2981.0,1358.0,1623.0,1.242,1648.0,30.0,1.5,0.456,Existing Customer
758348808.0,51.0,M,2.0,Graduate,Married,$120K +,Blue,44.0,4.0,3.0,3.0,34516.0,1666.0,32850.0,0.613,1218.0,18.0,0.8,0.048,Existing Customer
803800533.0,39.0,M,1.0,Unknown,Single,$40K - $60K,Blue,33.0,3.0,3.0,4.0,2088.0,975.0,1113.0,1.1440000000000001,2866.0,59.0,0.735,0.467,Attrited Customer
768921933.0,34.0,M,2.0,High School,Married,$60K - $80K,Blue,28.0,3.0,3.0,3.0,2853.0,2420.0,433.0,0.858,1750.0,47.0,0.8079999999999999,0.848,Existing Customer
719737833.0,46.0,F,4.0,Uneducated,Married,Less than $40K,Blue,36.0,4.0,2.0,2.0,6370.0,0.0,6370.0,0.855,1783.0,40.0,0.667,0.0,Existing Customer
715371108.0,45.0,M,3.0,Graduate,Married,$80K - $120K,Blue,40.0,3.0,3.0,2.0,3728.0,0.0,3728.0,0.358,1632.0,42.0,0.44799999999999995,0.0,Attrited Customer
712685733.0,57.0,F,3.0,Unknown,Single,Unknown,Silver,36.0,6.0,3.0,2.0,34516.0,1698.0,32818.0,0.823,3498.0,68.0,0.619,0.049,Existing Customer
714389883.0,45.0,M,4.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,3.0,1.0,8063.0,1485.0,6578.0,0.872,4275.0,77.0,0.833,0.184,Existing Customer
720000708.0,32.0,F,0.0,Graduate,Married,Unknown,Blue,26.0,3.0,3.0,2.0,2172.0,1381.0,791.0,1.145,2945.0,69.0,0.408,0.636,Existing Customer
